,server_timestamp,trade_price,trade_size,is_buyer_maker
176,1603659630431,407.49,0.05,False
177,1603659630847,407.48,3.898,True
178,1603659630850,407.48,6.518,True
179,1603659630978,407.48,3.846,True
180,1603659631098,407.48,3.012,True
181,1603659631098,407.48,10.0,True
182,1603659631098,407.48,0.003,True
183,1603659631100,407.48,0.515,True
184,1603659631100,407.48,0.001,True
185,1603659631101,407.47,0.011,True
186,1603659631101,407.47,0.003,True
187,1603659631101,407.47,0.001,True
188,1603659631101,407.45,0.001,True
189,1603659631101,407.45,2.109,True
190,1603659631101,407.45,7.891,True
191,1603659631103,407.44,0.109,True
192,1603659631258,407.44,0.921,True
193,1603659631258,407.44,0.22,True
194,1603659631258,407.43,1.328,True
195,1603659631259,407.43,8.84,True
196,1603659632372,407.42,0.15,True
197,1603659632484,407.42,0.005,True
198,1603659632564,407.42,0.142,True
199,1603659632908,407.42,0.371,True
200,1603659632918,407.42,0.145,True
201,1603659632985,407.43,0.076,False
202,1603659633785,407.42,1.036,True
203,1603659633827,407.42,1.532,True
204,1603659634031,407.42,0.149,True
205,1603659634244,407.42,0.004,True
206,1603659634280,407.42,0.153,True
207,1603659634718,407.42,0.147,True
208,1603659635271,407.42,6.166,True
209,1603659635271,407.42,0.001,True
210,1603659635271,407.42,0.599,True
211,1603659635853,407.42,0.27,True
212,1603659635994,407.42,0.143,True
213,1603659636469,407.42,0.151,True
214,1603659637303,407.42,0.183,True
215,1603659637305,407.42,2.776,True
216,1603659637805,407.43,0.254,False
217,1603659638114,407.43,1.456,False
218,1603659638114,407.43,0.001,False
219,1603659638114,407.43,0.136,False
220,1603659638115,407.43,0.001,False
221,1603659638115,407.43,0.013,False
222,1603659638115,407.43,1.0,False
223,1603659638115,407.43,1.006,False
224,1603659638115,407.43,1.007,False
225,1603659638115,407.43,0.073,False
226,1603659638115,407.44,0.384,False
227,1603659638118,407.45,0.426,False
228,1603659638118,407.45,2.317,False
229,1603659638118,407.47,2.494,False
230,1603659638118,407.48,2.497,False
231,1603659638118,407.48,1.0,False
232,1603659638118,407.48,0.307,False
233,1603659638153,407.48,2.829,True
234,1603659638467,407.5,0.035,False
235,1603659639168,407.49,0.007,True
236,1603659639172,407.49,0.008,True
237,1603659639237,407.49,0.005,True
238,1603659640295,407.49,1.458,True
239,1603659640295,407.49,3.482,True
240,1603659640305,407.49,2.073,True
241,1603659640361,407.49,6.502,True
242,1603659640361,407.49,0.016,True
243,1603659640374,407.49,0.136,True
244,1603659640375,407.49,0.151,True
245,1603659640375,407.49,1.23,True
246,1603659640375,407.48,5.001,True
247,1603659640578,407.48,0.008,True
248,1603659641693,407.48,8.044,True
249,1603659641693,407.48,0.008,True
250,1603659641693,407.48,0.076,True
251,1603659641693,407.48,2.857,True
252,1603659641694,407.44,2.08,True
253,1603659641694,407.43,1.0,True
254,1603659641694,407.43,1.935,True
255,1603659641708,407.44,2.974,True
256,1603659642253,407.42,1.578,True
257,1603659642294,407.43,0.001,False
258,1603659642481,407.42,4.722,True
259,1603659642712,407.42,0.133,True
260,1603659642940,407.42,0.791,True
261,1603659642940,407.42,1.0,True
262,1603659642940,407.42,1.955,True
263,1603659643023,407.42,2.22,True
264,1603659643203,407.42,0.739,True
265,1603659643206,407.41,0.191,True
266,1603659643206,407.41,0.426,True
267,1603659643437,407.41,3.623,True
268,1603659643662,407.41,5.066,True
269,1603659643892,407.41,2.899,True
270,1603659643893,407.41,1.43,True
271,1603659645082,407.41,2.49,True
272,1603659645082,407.41,0.898,True
273,1603659645082,407.4,2.069,True
274,1603659645082,407.4,0.05,True
275,1603659645083,407.4,0.001,True
276,1603659645083,407.4,1.596,True
277,1603659645083,407.4,0.381,True
278,1603659645142,407.4,7.114,True
279,1603659646306,407.4,0.149,True
280,1603659646340,407.4,1.484,True
281,1603659646349,407.4,0.838,True
282,1603659646513,407.4,0.034,True
283,1603659646513,407.4,0.194,True
284,1603659646513,407.4,0.074,True
285,1603659646514,407.39,9.698,True
286,1603659646580,407.39,1.017,True
287,1603659646808,407.39,3.746,True
288,1603659646966,407.39,5.237,True
289,1603659646966,407.38,0.018,True
290,1603659646966,407.38,0.018,True
291,1603659646966,407.38,0.03,True
292,1603659646966,407.38,4.697,True
293,1603659647038,407.37,0.007,True
294,1603659647038,407.37,0.587,True
295,1603659647038,407.37,0.226,True
296,1603659647038,407.37,0.647,True
297,1603659647267,407.37,1.002,True
298,1603659647496,407.37,1.033,True
299,1603659647719,407.37,0.319,True
300,1603659648384,407.37,0.955,True
301,1603659648611,407.37,6.044,True
302,1603659648611,407.37,0.647,True
303,1603659648611,407.37,0.584,True
304,1603659648611,407.37,1.002,True
305,1603659648611,407.37,1.99,True
306,1603659648690,407.37,0.001,True
307,1603659648696,407.38,0.405,False
308,1603659648842,407.37,3.912,True
309,1603659649234,407.37,0.001,True
310,1603659649416,407.37,0.01,True
311,1603659650442,407.38,0.366,False
312,1603659651464,407.38,0.236,False
313,1603659651465,407.38,1.006,False
314,1603659651465,407.38,0.002,False
315,1603659651465,407.38,0.067,False
316,1603659651465,407.38,0.001,False
317,1603659651465,407.38,0.495,False
318,1603659651465,407.38,1.0,False
319,1603659651465,407.38,0.036,False
320,1603659651465,407.4,2.384,False
321,1603659651466,407.42,0.197,False
322,1603659651469,407.43,21.257,False
323,1603659651469,407.44,2.496,False
324,1603659651469,407.44,2.494,False
325,1603659651469,407.44,1.0,False
326,1603659651469,407.45,6.306,False
327,1603659651483,407.43,6.915,True
328,1603659651668,407.48,0.004,False
329,1603659653216,407.48,0.001,True
330,1603659653216,407.48,0.001,True
331,1603659656358,407.49,0.001,False
332,1603659658317,407.48,0.006,True
333,1603659658318,407.48,0.011,True
334,1603659658318,407.48,0.217,True
335,1603659658318,407.48,0.001,True
336,1603659658318,407.48,3.795,True
337,1603659658318,407.48,0.003,True
338,1603659658318,407.48,0.888,True
339,1603659658318,407.48,0.004,True
